,Bikolano,Cebuano,Chavacano,Ilokano,Isnag,Ivatan,Kalinga,Kankanaey,Kapampangan,Pangasinense,Sambal,Spanish,Tagalog,Tausug,Yakan,Yami
Bikolano,1,0.424,0.107,0.023,0.182,0.215,0.223,0.024,0.175,0.214,0.202,0.012,0.453,0.124,0.063,0.198
Cebuano,0.424,1,0.025,0.074,0.14,0.123,0.026,0.015,0.022,0.026,0.026,0.005,0.643,0.023,0.049,0.026
Chavacano,0.107,0.025,1,0.02,0.263,0.114,0.14,0.164,0.142,0.18,0.162,0.438,0.08,0.049,0.098,0.135
Ilokano,0.023,0.074,0.02,1,0.102,0.365,0.012,0.054,0.161,0.283,0.371,0.176,0.029,0.001,0.001,0.339
Isnag,0.182,0.14,0.263,0.102,1,0.163,0.182,0.362,0.258,0.261,0.278,0.056,0.174,0.108,0.046,0.2
Ivatan,0.215,0.123,0.114,0.365,0.163,1,0.109,0.055,0.284,0.49,0.499,0.217,0.135,0.063,0.029,0.982
Kalinga,0.223,0.026,0.14,0.012,0.182,0.109,1,0.06,0.123,0.142,0.096,0.034,0.073,0.088,0.138,0.153
Kankanaey,0.024,0.015,0.164,0.054,0.362,0.055,0.06,1,0.031,0.067,0.264,0.027,0.092,0.011,0.038,0.036
Kapampangan,0.175,0.022,0.142,0.161,0.258,0.284,0.123,0.031,1,0.344,0.283,0.131,0.211,0.111,0.03,0.279
Pangasinense,0.214,0.026,0.18,0.283,0.261,0.49,0.142,0.067,0.344,1,0.501,0.159,0.13,0.104,0.05,0.549
Sambal,0.202,0.026,0.162,0.371,0.278,0.499,0.096,0.264,0.283,0.501,1,0.215,0.124,0.196,0.007,0.458
Spanish,0.012,0.005,0.438,0.176,0.056,0.217,0.034,0.027,0.131,0.159,0.215,1,0.009,0.014,0.028,0.172
Tagalog,0.453,0.643,0.08,0.029,0.174,0.135,0.073,0.092,0.211,0.13,0.124,0.009,1,0.082,0.057,0.138
Tausug,0.124,0.023,0.049,0.001,0.108,0.063,0.088,0.011,0.111,0.104,0.196,0.014,0.082,1,0.04,0.088
Yakan,0.063,0.049,0.098,0.001,0.046,0.029,0.138,0.038,0.03,0.05,0.007,0.028,0.057,0.04,1,0.073
Yami,0.198,0.026,0.135,0.339,0.2,0.982,0.153,0.036,0.279,0.549,0.458,0.172,0.138,0.088,0.073,1
