,Basilan,Samar,Northern Samar,Leyte,Eastern Samar,Ifugao,Sulu,City of Isabela,Zambales,Rizal,Quezon,Palawan,Oriental Mindoro,Occidental Mindoro,Nueva Ecija,National Capital Region,Marinduque,Laguna,Cavite,Camarines Norte,Bulacan,Batangas,Bataan,Aurora,Surigao del Norte,Tawi-Tawi,Pangasinan,Romblon,Masbate,Lanao del Sur,Maguindanao,Cotabato City,Antique,Tarlac,Pampanga,Mountain Province,Kalinga,Batanes,Quirino,Nueva Vizcaya,La Union,Isabela,Ilocos Sur,Ilocos Norte,Cagayan,Benguet,Apayao,Abra,Sultan Kudarat,South Cotabato,Negros Occidental,Iloilo,Guimaras,Cotabato,Sarangani,Cebu,Capiz,Bohol,Zamboanga Sibugay,Zamboanga del Sur,Zamboanga del Norte,Surigao del Sur,Southern Leyte,Siquijor,Negros Oriental,Misamis Oriental,Misamis Occidental,Lanao del Norte,Dinagat Islands,Davao Oriental,Davao del Sur,Davao del Norte,Compostela Valley,Camiguin,Bukidnon,Biliran,Agusan del Sur,Agusan del Norte,Sorsogon,Catanduanes,Camarines Sur,Albay,Aklan
Basilan,0.5216905715467414,0.03997366966135644,0.03997366966135644,0.039973669661356445,0.0527576412732483,,0.2922865313538087,0.23314602197523523,0.06567206097578543,0.06576057658162801,0.06577368277382967,0.06567206097578543,0.06567206097578543,0.06567206097578543,0.06566197406166593,0.06567206097578543,0.06567206097578543,0.0657577708961476,0.06567206097578544,0.07168282668088433,0.06570797911694899,0.06569465090444704,0.06559978072653155,0.06585511183553608,0.039973669661356445,0.2922865313538087,0.07442140543751581,,0.03997366966135644,,,0.06567206097578543,0.039973669661356445,0.06284212960471063,0.062360572835463625,0.04256221902140971,0.12375146558237056,0.04672202373788175,0.06567206097578544,0.06567206097578546,0.05841372802137261,0.06567206097578544,0.0425622190214097,0.0692316783593275,,0.052532771353670876,0.08227686541145057,,,0.039973669661356445,0.039973669661356445,0.06567206097578546,0.06567206097578543,0.039973669661356445,0.03997366966135644,0.04004677350355628,,0.03997366966135643,0.039973669661356445,0.11709236797940566,0.039973669661356445,,0.04177728353620144,0.039973669661356445,0.03997366966135644,0.04169607928362945,0.03997366966135644,0.039973669661356445,0.03997366966135644,,0.039973669661356445,0.039973669661356445,0.03997366966135644,0.03997366966135644,0.03997366966135645,0.039973669661356445,0.039973669661356445,0.03997366966135644,0.08288753057659447,0.08288683981509196,0.082171947803525,0.08272791634453827,0.06567206097578543
Samar,0.03997366966135644,1.0,1.0,1.0,0.8224060872291685,,0.023,0.023955160383716735,0.6429999999999999,0.6418839133169145,0.6417186583153472,0.6429999999999999,0.6429999999999999,0.643,0.641477330193882,0.643,0.643,0.6419192899962219,0.643,0.5672107027935889,0.6425471108325788,0.6427151652715802,0.632088937229598,0.6406919253396016,1.0,0.023000000000000003,0.12769707395404312,,1.0,,,0.6429999999999999,1.0,0.21580779819575027,0.14311441112246834,0.015,0.039879461585985515,0.148264151087408,0.643,0.643,0.4457579286621568,0.643,0.015000000000000001,0.5351705130067109,,0.28594546457832554,0.14,,,1.0,1.0,0.6429999999999999,0.6429999999999999,1.0,1.0,0.9989844472618531,,1.0,1.0,0.414763342534164,1.0,,0.9749443400778888,1.0,1.0,0.9760724230700693,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42593142568893605,0.42594013544928655,0.43495415559137496,0.4279439896558561,0.6429999999999999
Northern Samar,0.03997366966135645,1.0,1.0,1.0,0.8224060872291685,,0.023,0.023955160383716735,0.6430000000000001,0.6418839133169144,0.6417186583153472,0.643,0.643,0.643,0.6414773301938821,0.643,0.643,0.641919289996222,0.643,0.5672107027935889,0.6425471108325786,0.6427151652715803,0.6320889372295981,0.6406919253396018,1.0,0.023,0.12769707395404314,,1.0,,,0.643,1.0,0.2158077981957503,0.14311441112246834,0.014999999999999998,0.039879461585985515,0.14826415108740804,0.6429999999999999,0.643,0.44575792866215685,0.643,0.015,0.5351705130067109,,0.28594546457832565,0.14,,,1.0,1.0,0.643,0.6430000000000001,1.0,1.0,0.998984447261853,,1.0,1.0,0.41476334253416397,1.0,,0.9749443400778888,1.0,1.0,0.9760724230700693,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425931425688936,0.4259401354492866,0.43495415559137496,0.42794398965585606,0.643
Leyte,0.039973669661356445,1.0,1.0,1.0,0.8224060872291684,,0.023,0.023955160383716735,0.6429999999999999,0.6418839133169144,0.6417186583153471,0.643,0.643,0.6429999999999999,0.6414773301938821,0.6429999999999999,0.643,0.641919289996222,0.6429999999999999,0.5672107027935889,0.6425471108325789,0.6427151652715801,0.6320889372295981,0.6406919253396016,1.0,0.023,0.12769707395404312,,1.0,,,0.6429999999999999,1.0,0.21580779819575027,0.14311441112246837,0.015,0.039879461585985515,0.148264151087408,0.643,0.6429999999999999,0.44575792866215685,0.643,0.015,0.5351705130067109,,0.2859454645783256,0.13999999999999999,,,1.0,1.0,0.643,0.6429999999999999,1.0,1.0,0.9989844472618529,,1.0,1.0,0.414763342534164,1.0,,0.9749443400778887,1.0,1.0,0.976072423070069,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425931425688936,0.4259401354492866,0.43495415559137507,0.4279439896558561,0.643
Eastern Samar,0.0527576412732483,0.8224060872291685,0.8224060872291685,0.8224060872291685,0.821504599406537,,0.05235025449153797,0.05235510299924383,0.8205939127708314,0.8186462777212046,0.8183578982986592,0.8205939127708315,0.8205939127708315,0.8205939127708315,0.8188663234696096,0.8205939127708315,0.8205939127708315,0.8187080120484777,0.8205939127708315,0.6883372575639797,0.8198035952897308,0.820096859890595,0.8082144492578824,0.8165661905751684,0.8224060872291685,0.05235025449153797,0.20017764933565393,,0.8224060872291685,,,0.8205939127708315,0.8224060872291685,0.3359105793014471,0.25343418338632845,0.05330456942115973,0.06672921040404754,0.1625720482217753,0.8205939127708316,0.8205939127708316,0.5796038818827061,0.8205939127708315,0.05330456942115973,0.6783189699754989,,0.38434528215981445,0.15691370597817442,,,0.8224060872291685,0.8224060872291685,0.8205939127708315,0.8205939127708314,0.8224060872291686,0.8224060872291686,0.8224009321626891,,0.8224060872291684,0.8224060872291685,0.36019176912487133,0.8224060872291685,,0.8222789017195113,0.8224060872291684,0.8224060872291686,0.8222846280029433,0.8224060872291686,0.8224060872291686,0.8224060872291685,,0.8224060872291685,0.8224060872291685,0.8224060872291686,0.8224060872291685,0.8224060872291686,0.8224060872291686,0.8224060872291684,0.8224060872291686,0.4417968444893645,0.4418120435189647,0.45754202384472187,0.4453088836356013,0.8205939127708315
Ifugao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulu,0.2922865313538087,0.023,0.023,0.023,0.052350254491537976,,1.0,0.5458212375426926,0.082,0.08221404402141368,0.08224573676144027,0.08199999999999999,0.08199999999999999,0.082,0.08207110696357073,0.08199999999999999,0.082,0.08220725945277935,0.082,0.09653493371081859,0.08208685545676572,0.08205462583832708,0.08250953433227319,0.08244264445541885,0.023,1.0,0.10037384825447494,,0.023,,,0.082,0.023,0.10194939428715498,0.10534409352246124,0.011,0.08786502954697584,0.06392311321280914,0.082,0.082,0.05970033906849226,0.082,0.011000000000000001,0.08757369117659147,,0.04163236940296356,0.10799999999999998,,,0.023,0.023,0.08199999999999999,0.082,0.022999999999999996,0.023,0.02316783644692065,,0.023,0.022999999999999996,0.038606310865755625,0.022999999999999996,,0.027140851359676643,0.023,0.023,0.02695441747581491,0.022999999999999996,0.022999999999999996,0.023000000000000003,,0.023,0.023,0.023,0.023,0.023000000000000003,0.023,0.023000000000000003,0.023,0.12362958959390269,0.12362791922890395,0.12189920303727055,0.12324361842216457,0.082
City of Isabela,0.23314602197523518,0.023955160383716728,0.02395516038371673,0.023955160383716735,0.05235510299924383,,0.5458212375426926,0.5254560361100987,0.08104483961628327,0.08122237535740663,0.08124866244569665,0.08104483961628327,0.08104483961628327,0.08104483961628327,0.08115458989540747,0.08104483961628327,0.08104483961628327,0.08121674799434019,0.08104483961628327,0.09310063174486563,0.08111688062815398,0.08109014823377154,0.08183128207398613,0.08141198470600784,0.02395516038371674,0.5458212375426926,0.13053000178052174,,0.023955160383716735,,,0.08104483961628327,0.02395516038371673,0.11183579849608938,0.11707535830723244,0.0840697693543302,0.11211906658995648,0.0870499339965406,0.08104483961628328,0.08104483961628327,0.08199490873600271,0.08104483961628325,0.08406976935433022,0.10269221797486353,,0.08276468815498002,0.18202492973804696,,,0.023955160383716735,0.023955160383716735,0.08104483961628327,0.08104483961628327,0.023955160383716735,0.023955160383716735,0.024117562568771546,,0.02395516038371673,0.02395516038371673,0.311605641467087,0.023955160383716735,,0.0279619379408977,0.023955160383716735,0.02395516038371673,0.027781540472630768,0.023955160383716735,0.023955160383716735,0.023955160383716735,,0.02395516038371673,0.023955160383716735,0.023955160383716735,0.02395516038371673,0.023955160383716735,0.023955160383716735,0.023955160383716735,0.02395516038371673,0.11557390514402842,0.11557251968375702,0.11413866085300539,0.11525376689595117,0.08104483961628325
Zambales,0.06567206097578544,0.6429999999999999,0.643,0.6429999999999999,0.8205939127708314,,0.082,0.08104483961628327,1.0,0.9972123314353982,0.9967995712260043,1.0,1.0,1.0,0.9980654001980239,1.0,1.0,0.9973006923649927,1.0,0.810699791909101,0.9988688110749797,0.9992885634865497,0.9861371521322914,0.9942350829258544,0.643,0.08200000000000002,0.2733978190275811,,0.6429999999999999,,,1.0,0.643,0.45723889335981793,0.3648796624406241,0.092,0.09385293499223431,0.1770259436357845,1.0,1.0,0.7148156038618445,1.0,0.092,0.8229281187744398,,0.483749174899872,0.17400000000000002,,,0.6429999999999999,0.643,1.0,1.0,0.643,0.6429999999999999,0.644015552738147,,0.6429999999999999,0.643,0.30506334548383013,0.643,,0.6680556599221111,0.643,0.6430000000000001,0.6669275769299308,0.643,0.643,0.6429999999999999,,0.643,0.643,0.6429999999999999,0.643,0.643,0.643,0.643,0.643,0.4578241545746485,0.4578459090902272,0.480360379490786,0.4628509695970471,1.0
Rizal,0.065760576581628,0.6418839133169145,0.6418839133169144,0.6418839133169143,0.8186462777212046,,0.08221404402141368,0.08122237535740665,0.9972123314353982,0.9944530763846031,0.994044523263547,0.9972123314353982,0.9972123314353982,0.9972123314353982,0.9952841170442939,0.9972123314353981,0.9972123314353981,0.9945405366890211,0.9972123314353982,0.8098415794299383,0.996092672235449,0.9965081462901536,0.9833952397904455,0.9915061736961891,0.6418839133169144,0.08221404402141368,0.2732958697324442,,0.6418839133169144,,,0.9972123314353983,0.6418839133169144,0.45624268195724615,0.36418829529399765,0.09165345253675884,0.0945374729095033,0.1772783997117733,0.9972123314353982,0.9972123314353982,0.7127946419571456,0.9972123314353982,0.09165345253675883,0.8207467903900789,,0.4823494256995289,0.17404077028979306,,,0.6418839133169145,0.6418839133169143,0.9972123314353982,0.9972123314353982,0.6418839133169144,0.6418839133169144,0.6428947109302524,,0.6418839133169143,0.6418839133169144,0.3046997749492207,0.6418839133169145,,0.6668222550677224,0.6418839133169144,0.6418839133169144,0.665699454101006,0.6418839133169144,0.6418839133169145,0.6418839133169144,,0.6418839133169145,0.6418839133169143,0.6418839133169145,0.6418839133169144,0.6418839133169144,0.6418839133169144,0.6418839133169144,0.6418839133169144,0.4605626525942464,0.46058418537534906,0.48286917540521584,0.46553823144034523,0.9972123314353981
